Release_Type,Movie_Name,Lifetime Gross,Year,Release_ID,Movie_ID,file_name
Original Release,Kung Fu Panda 3,521170825,2016,gr4045558277,tt2267968,Collections of Top Grossing Films
Original Release,Terminator 2: Judgment Day,520884847,1991,gr492392965,tt0103064,Collections of Top Grossing Films
Original Release,Ant-Man,519311965,2015,gr821711365,tt0478970,Collections of Top Grossing Films
Original Release,The Grinch,511595957,2018,gr1661227525,tt2709692,Collections of Top Grossing Films
Original Release,Ghost,505869714,1990,gr503927301,tt0099653,Collections of Top Grossing Films
Original Release,Aladdin,504050219,1992,gr3570487813,tt0103639,Collections of Top Grossing Films
Original Release,Rio 2,498781117,2014,gr1071665669,tt2357291,Collections of Top Grossing Films
Original Release,Troy,497409852,2004,gr771314181,tt0332452,Collections of Top Grossing Films
Original Release,Toy Story 2,497374776,1999,gr4031336965,tt0120363,Collections of Top Grossing Films
Original Release,How to Train Your Dragon,494878759,2010,gr1106989573,tt0892769,Collections of Top Grossing Films
Original Release,Twister,494471524,1996,gr3345961477,tt0117998,Collections of Top Grossing Films
Original Release,Oz the Great and Powerful,493311825,2013,gr2383237637,tt1623205,Collections of Top Grossing Films
Original Release,Clash of the Titans,493214993,2010,gr1260540421,tt0800320,Collections of Top Grossing Films
Original Release,Maleficent: Mistress of Evil,491730089,2019,gr2536985093,tt4777008,Collections of Top Grossing Films
Original Release,War for the Planet of the Apes,490719763,2017,gr2539147781,tt3450958,Collections of Top Grossing Films
Original Release,Mr. & Mrs. Smith,487287646,2005,gr979653125,tt0356910,Collections of Top Grossing Films
Original Release,Shrek,487206214,2001,gr3227800069,tt0126029,Collections of Top Grossing Films
Original Release,Angels & Demons,485930816,2009,gr1213092357,tt0808151,Collections of Top Grossing Films
Original Release,Teenage Mutant Ninja Turtles,485004754,2014,gr656364037,tt1291150,Collections of Top Grossing Films
Original Release,Bruce Almighty,484592874,2003,gr2967425541,tt0315327,Collections of Top Grossing Films
Original Release,Rio,483866518,2011,gr2251969029,tt1436562,Collections of Top Grossing Films
Original Release,Saving Private Ryan,482349603,1998,gr1632588293,tt0120815,Collections of Top Grossing Films
Original Release,Rise of the Planet of the Apes,481800873,2011,gr2334347781,tt1318514,Collections of Top Grossing Films
Original Release,Home Alone,477063114,1990,gr2254131717,tt0099785,Collections of Top Grossing Films
